一	j ɐ t
各類	k ɔ: k l ɵy
合力	h ɐ p l ɪ k
合十	h ɐ p s ɐ p
合乎	h ɐ p f u:
合用	h ɐ p j ʊ ŋ
合伙	h ɐ p f ɔ:
合同	h ɐ p tʰ ʊ ŋ
合作	h ɐ p t s ɔ: k
合身	h ɐ p s ɐ n
合併	h ɐ pp ɪ ŋ
合宜	h ɐ p j i:
合抱	h ɐ p pʰ ou
合拍	h ɐ p pʰ a: k
合法	h ɐ p f a: t
合股	h ɐ p k u:
合金	h ɐ p k ɐ m
合奏	h ɐ p t s ɐu
合約	h ɐ p j œ: k
合計	k a: p k ɐi
合計	h ɐ p k ɐi
合格	h ɐ p k a: k
合唱	h ɐ p t sʰ œ: ŋ
合理	h ɐ p l ei
合眼	h ɐ p ŋ a: n
合掌	h ɐ p t s œ: ŋ
合意	h ɐ p j i:
合照	h ɐ p t s i:u
合群	h ɐ p kʰ w ɐ n
合葬	h ɐ p t s ɔ: ŋ
合資	h ɐ p t s i:
合夥	h ɐ p f ɔ:
合演	h ɐ p j i: n
合算	h ɐ p s y: n
合影	h ɐ p j ɪ ŋ
合適	h ɐ p s ɪ k
合謀	h ɐ p m ɐu
合辦	h ɐ pp a: n
合擊	h ɐ p k ɪ k
合縫	h ɐ p f ʊ ŋ
合聲	h ɐ p s ɛ: ŋ
吉凶	k ɐ t h ʊ ŋ
吉日	k ɐ t j ɐ t
吉他	k ɐ t tʰ a:
吉兆	k ɐ t s i:u
吉利	k ɐ t l ei
吉祥	k ɐ tt sʰ œ: ŋ
吉期	k ɐ t kʰ ei
吊車	t i:u t sʰ ɛ:
吊扇	t i:u s i: n
吊起	t i:u h ei
吊帶	t i:u t a:i
吊桶	t i:u tʰ ʊ ŋ
吊銷	t i:u s i:u
吊橋	t i:u kʰ i:u
吊燈	t i:u t ɐ ŋ
吊環	t i:u w a: n
同化	tʰ ʊ ŋ f a:
同伙	tʰ ʊ ŋ f ɔ:
同年	tʰ ʊ ŋ n i: n
同年	tʰ ʊ ŋ l i: n
同行	tʰ ʊ ŋ h ɔ: ŋ
同伴	tʰ ʊ ŋ p u: n
同志	tʰ ʊ ŋ t s i:
同步	tʰ ʊ ŋ p ou
同事	tʰ ʊ ŋ s i:
同居	tʰ ʊ ŋ k ɵy
同性	tʰ ʊ ŋ s ɪ ŋ
同房	tʰ ʊ ŋ f ɔ: ŋ
同胞	tʰ ʊ ŋ p a:u
同時	tʰ ʊ ŋ s i:
同班	tʰ ʊ ŋ p a: n
同情	tʰ ʊ ŋ t sʰ ɪ ŋ
同袍	tʰ ʊ ŋ pʰ ou
同期	tʰ ʊ ŋ kʰ ei
同窗	tʰ ʊ ŋ t sʰ œ: ŋ
同等	tʰ ʊ ŋ t ɐ ŋ
同鄉	tʰ ʊ ŋ h œ: ŋ
同意	tʰ ʊ ŋ j i:
同感	tʰ ʊ ŋ k ɐ m
同盟	tʰ ʊ ŋ m ɐ ŋ
同路	tʰ ʊ ŋ l ou
同僚	tʰ ʊ ŋ l i:u
同夥	tʰ ʊ ŋ f ɔ:
同樣	tʰ ʊ ŋ j œ: ŋ
同輩	tʰ ʊ ŋ p u:i
同儕	tʰ ʊ ŋ t sʰ a:i
同學	tʰ ʊ ŋ h ɔ: k
同謀	tʰ ʊ ŋ m ɐu
同類	tʰ ʊ ŋ l ɵy
同黨	tʰ ʊ ŋ t ɔ: ŋ
名人	m ɪ ŋ j ɐ n
名分	m ɪ ŋ f ɐ n
名片	m ɪ ŋ pʰ i: n
名冊	m ɪ ŋ t sʰ a: k
名句	m ɪ ŋ k ɵy
名目	m ɪ ŋ m ʊ k
名份	m ɪ ŋ f ɐ n
名字	m ɪ ŋ t s i:
名次	m ɪ ŋ t sʰ i:
名伶	m ɪ ŋ l ɪ ŋ
名利	m ɪ ŋ l ei
名言	m ɪ ŋ j i: n
名流	m ɪ ŋ l ɐu
名為	m ɪ ŋ w ɐi
名家	m ɪ ŋ k a:
名師	m ɪ ŋ s i:
名氣	m ɪ ŋ h ei
名堂	m ɪ ŋ tʰ ɔ: ŋ
名將	m ɪ ŋ t s œ: ŋ
名望	m ɪ ŋ m ɔ: ŋ
名產	m ɪ ŋ t sʰ a: n
名勝	m ɪ ŋ s ɪ ŋ
名單	m ɪ ŋ t a: n
名媛	m ɪ ŋ j y: n
名牌	m ɪ ŋ pʰ a:i
名畫	m ɪ ŋ w a:
名著	m ɪ ŋ t s y:
名詞	m ɪ ŋ t sʰ i:
名貴	m ɪ ŋ k w ɐi
名義	m ɪ ŋ j i:
名號	m ɪ ŋ h ou
名種	m ɪ ŋ t s ʊ ŋ
名稱	m ɪ ŋ t sʰ ɪ ŋ
名廚	m ɪ ŋ t sʰ y:
名聲	m ɪ ŋ s ɪ ŋ
名醫	m ɪ ŋ j i:
名額	m ɪ ŋŋ a: k
名額	m ɪ ŋ a: k
名籍	m ɪ ŋ t s ɪ k
名譽	m ɪ ŋ j y:
后妃	h ɐu f ei
吏治	l ei t s i:
吐出	tʰ ou t sʰ ɵ t
吐血	tʰ ou h y: t
吐沫	tʰ ou m u: t
向上	h œ: ŋ s œ: ŋ
向下	h œ: ŋ h a:
向外	h œ: ŋŋ ɔ:i
向來	h œ: ŋ l ɔ:i
向前	h œ: ŋ t sʰ i: n
向後	h œ: ŋ h ɐu
回升	w u:i s ɪ ŋ
回去	w u:i h ɵy
回合	w u:i h ɐ p
回扣	w u:i kʰ ɐu
回收	w u:i s ɐu
回來	w u:i l ɔ:i
回到	w u:i t ou
回味	w u:i m ei
回帖	w u:i tʰ i: p
回門	w u:i m u: n
回信	w u:i s ɵ n
回音	w u:i j ɐ m
回首	w u:i s ɐu
回家	w u:i k a:
回國	w u:i k w ɔ: k
回巢	w u:i t sʰ a:u
回教	w u:i k a:u
回條	w u:i tʰ i:u
回訪	w u:i f ɔ: ŋ
回報	w u:i p ou
回復	w u:i f ʊ k
回程	w u:i t sʰ ɪ ŋ
回答	w u:i t a: p
回絕	w u:i t s y: t
回鄉	w u:i h œ: ŋ
回想	w u:i s œ: ŋ
回敬	w u:i k ɪ ŋ
回溯	w u:i s ou
回稟	w u:i p ɐ n
回電	w u:i t i: n
回潮	w u:i t sʰ i:u
回請	w u:i t sʰ ɪ ŋ
回憶	w u:i j ɪ k
回頭	w u:i tʰ ɐu
回應	w u:i j ɪ ŋ
回擊	w u:i k ɪ k
回聲	w u:i s ɪ ŋ
回歸	w u:i k w ɐi
回禮	w u:i l ɐi
回覆	w u:i f ʊ k
回轉	w u:i t s y: n
回贈	w u:i t s ɐ ŋ
回饋	w u:i k w ɐi
回響	w u:i h œ: ŋ
回顧	w u:i k u:
回籠	w u:i l ʊ ŋ
因由	j ɐ n j ɐu
因此	j ɐ n t sʰ i:
因而	j ɐ n j i:
因果	j ɐ n k w ɔ:
因為	j ɐ n w ɐi
因素	j ɐ n s ou
因緣	j ɐ n j y: n
因應	j ɐ n j ɪ ŋ
囡囡	l ɵy l ɵy
囡囡	n ɵy n ɵy
在下	t s ɔ:i h a:
在世	t s ɔ:i s ɐi
在乎	t s ɔ:i f u:
在先	t s ɔ:i s i: n
在行	t s ɔ:i h ɐ ŋ
在位	t s ɔ:i w ɐi
在即	t s ɔ:i t s ɪ k
在押	t s ɔ:i ŋ a: t
在於	t s ɔ:i j y:
在座	t s ɔ:i t s ɔ:
在案	t s ɔ:iɔ: n
在逃	t s ɔ:i tʰ ou
在場	t s ɔ:i t sʰ œ: ŋ
在意	t s ɔ:i j i:
在學	t s ɔ:i h ɔ: k
在職	t s ɔ:i t s ɪ k
地上	t ei s œ: ŋ
地下	t ei h a:
地方	t ei f ɔ: ŋ
地主	t ei t s y:
地皮	t ei pʰ ei
地名	t ei m ɪ ŋ
地位	t ei w ɐi
地址	t ei t s i:
地形	t ei j ɪ ŋ
地步	t ei p ou
地牢	t ei l ou
地府	t ei f u:
地板	t ei p a: n
地契	t ei kʰ ɐi
地段	t ei t y: n
地洞	t ei t ʊ ŋ
地面	t ei m i: n
地租	t ei t s ou
地區	t ei kʰ ɵy
地域	t ei w ɪ k
地基	t ei k ei
地帶	t ei t a:i
地球	t ei kʰ ɐu
地理	t ei l ei
地產	t ei t sʰ a: n
地殼	t ei h ɔ: k
地毯	t ei tʰ a: m
地痞	t ei pʰ ei
地窖	t ei k a:u
地勢	t ei s ɐi
地道	t ei t ou
地雷	t ei l ɵy
地圖	t ei tʰ ou
地獄	t ei j ʊ k
地貌	t ei m a:u
地價	t ei k a:
地層	t ei t sʰ ɐ ŋ
地盤	t ei pʰ u: n
地質	t ei t s ɐ t
地鋪	t ei pʰ ou
地震	t ei t s ɐ n
地頭	t ei tʰ ɐu
地點	t ei t i: m
地鐵	t ei tʰ i: t
地攤	t ei tʰ a: n
多久	t ɔ: k ɐu
多大	t ɔ: t a:i
多元	t ɔ: j y: n
多少	t ɔ: s i:u
多心	t ɔ: s ɐ m
多方	t ɔ: f ɔ: ŋ
多日	t ɔ: j ɐ t
多半	t ɔ: p u: n
多汁	t ɔ: t s ɐ p
多言	t ɔ: j i: n
多事	t ɔ: s i:
多於	t ɔ: j y:
多重	t ɔ: t sʰ ʊ ŋ
多時	t ɔ: s i:
多情	t ɔ: t sʰ ɪ ŋ
多產	t ɔ: t sʰ a: n
多寡	t ɔ: k w a:
多疑	t ɔ: j i:
多麼	t ɔ: m ɔ:
多嘴	t ɔ: t s ɵy
多數	t ɔ: s ou
多餘	t ɔ: j y:
多謝	t ɔ: t s ɛ:
多點	t ɔ: t i: m
夷平	j i: pʰ ɪ ŋ
奸臣	k a: n s ɐ n
奸計	k a: n k ɐi
奸笑	k a: n s i:u
奸商	k a: n s œ: ŋ
奸細	k a: n s ɐi
奸詐	k a: n t s a:
奸猾	k a: n w a: t
奸賊	k a: n t sʰ a: k
奸險	k a: n h i: m
她們	tʰ a: m u: n
好人	h ou j ɐ n
好久	h ou k ɐu
好友	h ou j ɐu
好心	h ou s ɐ m
好手	h ou s ɐu
好歹	h ou t a:i
好比	h ou p ei
好用	h ou j ʊ ŋ
好吃	h ou h ɛ: k
好在	h ou t s ɔ:i
好多	h ou t ɔ:
好好	h ou h ou
好色	h ou s ɪ k
好似	h ou t sʰ i:
好事	h ou s i:
好奇	h ou kʰ ei
好玩	h ou w a: n
好客	h ou h a: k
好看	h ou h ɔ: n
好笑	h ou s i:u
好鬥	h ou t ɐu
好動	h ou t ʊ ŋ
好強	h ou kʰ œ: ŋ
好球	h ou kʰ ɐu
好處	h ou t sʰ y:
好勝	h ou s ɪ ŋ
好評	h ou pʰ ɪ ŋ
好意	h ou j i:
好感	h ou k ɐ m
好話	h ou w a:
好運	h ou w ɐ n
好過	h ou k w ɔ:
好像	h ou t s œ: ŋ
好漢	h ou h ɔ: n
好靚	h ou l ɛ: ŋ
好學	h ou h ɔ: k
好戰	h ou t s i: n
好轉	h ou t s y: n
好聽	h ou tʰ ɛ: ŋ
如上	j y: s œ: ŋ
如下	j y: h a:
如今	j y: k ɐ m
如同	j y: tʰ ʊ ŋ
如此	j y: t sʰ i:
如何	j y: h ɔ:
如果	j y: k w ɔ:
如若	j y: j œ: k
如常	j y: s œ: ŋ
如廁	j y: t sʰ i:
如期	j y: kʰ ei
如意	j y: j i:
如實	j y: s ɐ t
如願	j y: j y: n
妃子	f ei t s i:
妃嬪	f ei pʰ ɐ n
妄言	m ɔ: ŋ j i: n
妄念	m ɔ: ŋ l i: m
妄想	m ɔ: ŋ s œ: ŋ
妄語	m ɔ: ŋ j y:
孖仔	m a: t s ɐi
孖生	m a: s a: ŋ
孖裝	m a: t s ɔ: ŋ
字元	t s i: j y: n
字句	t s i: k ɵy
字母	t s i: m ou
字串	t s i: t sʰ y: n
字形	t s i: j ɪ ŋ
字典	t s i: t i: n
字帖	t s i: tʰ i: p
字型	t s i: j ɪ ŋ
字面	t s i: m i: n
字音	t s i: j ɐ m
字首	t s i: s ɐu
字條	t s i: tʰ i:u
字眼	t s i: ŋ a: n
字眼	t s i:a: n
字畫	t s i: w a:
字彙	t s i: w u:i
字義	t s i: j i:
字號	t s i: h ou
字跡	t s i: t s ɪ k
字幕	t s i: m ɔ: k
字數	t s i: s ou
字樣	t s i: j œ: ŋ
字碼	t s i: m a:
字謎	t s i: m ɐi
字體	t s i: tʰ ɐi
存入	t sʰ y: n j ɐ p
存心	t sʰ y: n s ɐ m
存戶	t sʰ y: n w u:
存在	t sʰ y: n t s ɔ:i
存取	t sʰ y: n t sʰ ɵy
存放	t sʰ y: n f ɔ: ŋ
存查	t sʰ y: n t sʰ a:
存活	t sʰ y: n w u: t
存根	t sʰ y: n k ɐ n
存案	t sʰ y: n ɔ: n
存貨	t sʰ y: n f ɔ:
存單	t sʰ y: n t a: n
存款	t sʰ y: n f u: n
存量	t sʰ y: n l œ: ŋ
存摺	t sʰ y: n t s i: p
存疑	t sʰ y: n j i:
存錢	t sʰ y: n t sʰ i: n
存檔	t sʰ y: n t ɔ: ŋ
宅院	t s a: k j y: n
宇宙	j y: t s ɐu
守住	s ɐu t s y:
守孝	s ɐu h a:u
守更	s ɐu k a: ŋ
守夜	s ɐu j ɛ:
守法	s ɐu f a: t
守信	s ɐu s ɵ n
守則	s ɐu t s ɐ k
守約	s ɐu j œ: k
守候	s ɐu h ɐu
守時	s ɐu s i:
守望	s ɐu m ɔ: ŋ
守喪	s ɐu s ɔ: ŋ
守業	s ɐu j i: p
守節	s ɐu t s i: t
守寡	s ɐu k w a:
守敵	s ɐu t ɪ k
守衛	s ɐu w ɐi
守舊	s ɐu k ɐu
守護	s ɐu w u:
守靈	s ɐu l ɪ ŋ
安分	ɔ: n f ɐ n
安心	ɔ: n s ɐ m
安全	ɔ: n t sʰ y: n
安全	ŋ ɔ: n t sʰ y: n
安危	ɔ: n ɐi
安好	ɔ: n h ou
安定	ɔ: n t ɪ ŋ
安定	ŋ ɔ: n t ɪ ŋ
安抵	ɔ: n t ɐi
安放	ɔ: n f ɔ: ŋ
安於	ɔ: n j y:
安胎	ɔ: n tʰ ɔ:i
安息	ŋ ɔ: n s ɪ k
安息	ɔ: n s ɪ k
安泰	ɔ: n tʰ a:i
安眠	ɔ: n m i: n
安康	ɔ: n h ɔ: ŋ
安排	ɔ: n pʰ a:i
安排	ŋ ɔ: n pʰ a:i
安逸	ɔ: n j ɐ t
安逸	ŋ ɔ: n j ɐ t
安置	ŋ ɔ: n t s i:
安置	ɔ: n t s i:
安葬	ɔ: n t s ɔ: ŋ
安裝	ɔ: n t s ɔ: ŋ
安詳	ɔ: n t sʰ œ: ŋ
安頓	ɔ: n t ɵ n
安寧	ɔ: n l ɪ ŋ
安寧	ŋ ɔ: nn ɪ ŋ
安寧	ŋ ɔ: n l ɪ ŋ
安寧	ɔ: nn ɪ ŋ
安睡	ɔ: n s ɵy
安慰	ŋ ɔ: n w ɐi
安慰	ɔ: n w ɐi
安撫	ɔ: n f u:
安樂	ɔ: n l ɔ: k
安樂	ŋ ɔ: n l ɔ: k
安靜	ŋ ɔ: n t s ɪ ŋ
安靜	ɔ: n t s ɪ ŋ
安穩	ɔ: n w ɐ n
寺院	t s i: j y: n
寺廟	t s i: m i:u
尖刀	t s i: m t ou
尖叫	t s i: m k i:u
尖刻	t s i: m h ɐ k
尖削	t s i: m s œ: k
尖頂	t s i: m t ɪ ŋ
尖端	t s i: m t y: n
尖酸	t s i: m s y: n
尖銳	t s i: m j ɵy
尖頭	t s i: m tʰ ɐu
尖聲	t s i: m s ɪ ŋ
屹立	ŋ ɐ t l a: p
屹立	ɐ t l a: p
州府	t s ɐu f u:
州長	t s ɐu t s œ: ŋ
帆布	f a: n p ou
帆船	f a: n s y: n
年代	l i: n t ɔ:i
年代	n i: n t ɔ:i
年幼	l i: n j ɐu
年幼	n i: n j ɐu
年份	l i: n f ɐ n
年份	n i: n f ɐ n
年老	l i: n l ou
年老	n i: n l ou
年尾	l i: n m ei
年尾	n i: n m ei
年初	n i: n t sʰ ɔ:
年初	l i: n t sʰ ɔ:
年底	l i: n t ɐi
年底	n i: n t ɐi
年表	l i: n p i:u
年表	n i: n p i:u
年長	n i: n t s œ: ŋ
年青	l i: n t sʰ ɪ ŋ
年青	n i: n t sʰ ɪ ŋ
年度	n i: n t ou
年紀	n i: n k ei
年紀	l i: n k ei
年限	n i: n h a: n
年限	l i: n h a: n
年俸	l i: n f ʊ ŋ
年俸	n i: n f ʊ ŋ
年息	n i: n s ɪ k
年息	l i: n s ɪ k
年租	l i: n t s ou
年租	n i: n t s ou
年級	n i: n kʰ ɐ p
年級	l i: n kʰ ɐ p
年假	l i: n k a:
年假	n i: n k a:
年終	n i: n t s ʊ ŋ
年終	l i: n t s ʊ ŋ
年貨	n i: n f ɔ:
年貨	l i: n f ɔ:
年報	l i: n p ou
年報	n i: n p ou
年期	n i: n kʰ ei
年間	n i: n k a: n
年僅	n i: n k ɐ n
年會	n i: n w u:i
年會	l i: n w u:i
年歲	n i: n s ɵy
年歲	l i: n s ɵy
年輕	l i: n h ɪ ŋ
年輕	l i: n h ɛ: ŋ
年輕	n i: n h ɛ: ŋ
年輪	l i: n l ɵ n
年曆	l i: n l ɪ k
年曆	n i: n l ɪ k
年糕	l i: n k ou
年糕	n i: n k ou
年薪	l i: n s ɐ n
年薪	n i: n s ɐ n
年邁	n i: n m a:i
年邁	l i: n m a:i
年譜	n i: n pʰ ou
年譜	l i: n pʰ ou
年齡	l i: n l ɪ ŋ
年齡	n i: n l ɪ ŋ
年鑑	l i: n k a: m
年鑑	n i: n k a: m
式微	s ɪ k m ei
式樣	s ɪ k j œ: ŋ
忙於	m ɔ: ŋ j y:
忙亂	m ɔ: ŋ l y: n
忙碌	m ɔ: ŋ l ʊ k
成人	s ɪ ŋ j ɐ n
成才	s ɪ ŋ t sʰ ɔ:i
成分	s ɪ ŋ f ɐ n
成日	s ɛ: ŋ j ɐ t
成仙	s ɪ ŋ s i: n
成功	s ɪ ŋ k ʊ ŋ
成本	s ɪ ŋ p u: n
成立	s ɪ ŋ l a: p
成交	s ɪ ŋ k a:u
成份	s ɪ ŋ f ɐ n
成全	s ɪ ŋ t sʰ y: n
成名	s ɪ ŋ m ɪ ŋ
成因	s ɪ ŋ j ɐ n
成年	s ɪ ŋ l i: n
成年	s ɛ: ŋ l i: n
成年	s ɪ ŋ n i: n
成年	s ɛ: ŋ n i: n
成衣	s ɪ ŋ j i:
成見	s ɪ ŋ k i: n
成事	s ɪ ŋ s i:
成果	s ɪ ŋ k w ɔ:
成長	s ɪ ŋ t s œ: ŋ
成品	s ɪ ŋ p ɐ n
成為	s ɪ ŋ w ɐi
成員	s ɪ ŋ j y: n
成效	s ɪ ŋ h a:u
成敗	s ɪ ŋ p a:i
成就	s ɪ ŋ t s ɐu
成語	s ɪ ŋ j y:
成熟	s ɪ ŋ s ʊ k
成績	s ɪ ŋ t s ɪ k
成蟲	s ɪ ŋ t sʰ ʊ ŋ
成藥	s ɪ ŋ j œ: k
托運	tʰ ɔ: k w ɐ n
托管	tʰ ɔ: kk u: n
托盤	tʰ ɔ: k pʰ u: n
托舉	tʰ ɔ: kk ɵy
扣上	kʰ ɐu s œ: ŋ
扣分	kʰ ɐu f ɐ n
扣去	kʰ ɐu h ɵy
扣肉	kʰ ɐu j ʊ k
扣住	kʰ ɐu t s y:
扣押	kʰ ɐu ŋ a: t
扣押	kʰ ɐua: t
扣留	kʰ ɐu l ɐu
扣除	kʰ ɐu t sʰ ɵy
扣掉	kʰ ɐu t ɛ:u
扣減	kʰ ɐu k a: m
扣題	kʰ ɐu tʰ ɐi
收入	s ɐu j ɐ p
收口	s ɐu h ɐu
收工	s ɐu k ʊ ŋ
收支	s ɐu t s i:
收市	s ɐu s i:
收件	s ɐu k i: n
收回	s ɐu w u:i
收成	s ɐu s ɪ ŋ
收兵	s ɐu p ɪ ŋ
收尾	s ɐu m ei
收到	s ɐu t ou
收取	s ɐu t sʰ ɵy
收受	s ɐu s ɐu
收服	s ɐu f ʊ k
收屍	s ɐu s i:
收拾	s ɐu s ɐ p
收看	s ɐu h ɔ: n
收音	s ɐu j ɐ m
收容	s ɐu j ʊ ŋ
收效	s ɐu h a:u
收留	s ɐu l ɐu
收益	s ɐu j ɪ k
收租	s ɐu t s ou
收納	s ɐu n a: p
收納	s ɐu l a: p
收條	s ɐu tʰ i:u
收貨	s ɐu f ɔ:
收割	s ɐu k ɔ: t
收報	s ɐu p ou
收場	s ɐu t sʰ œ: ŋ
收款	s ɐu f u: n
收發	s ɐu f a: t
收稅	s ɐu s ɵy
收視	s ɐu s i:
收買	s ɐu m a:i
收費	s ɐu f ɐi
收進	s ɐu t s ɵ n
收集	s ɐu t s a: p
收賄	s ɐu w u:i
收監	s ɐu k a: m
收齊	s ɐu t sʰ ɐi
收盤	s ɐu pʰ u: n
收編	s ɐu pʰ i: n
收養	s ɐu j œ: ŋ
收據	s ɐu k ɵy
收錄	s ɐu l ʊ k
收錢	s ɐu t sʰ i: n
收斂	s ɐu l i: m
收歛	s ɐu l i: m
收獲	s ɐu w ɔ: k
收縮	s ɐu s ʊ k
收購	s ɐu kʰ ɐu
收歸	s ɐu k w ɐi
收禮	s ɐu l ɐi
收藏	s ɐu t sʰ ɔ: ŋ
收穫	s ɐu w ɔ: k
收繳	s ɐu k i:u
收聽	s ɐu tʰ ɛ: ŋ
收攬	s ɐu l a: m
旨意	t s i: j i:
早上	t s ou s œ: ŋ
早已	t s ou j i:
早夭	t s ou j i:u
早日	t s ou j ɐ t
早市	t s ou s i:
早安	t s ouɔ: n
早年	t s ou n i: n
早些	t s ou s ɛ:
早到	t s ou t ou
早洩	t s ou s i: t
早茶	t s ou t sʰ a:
早衰	t s ou s ɵy
早起	t s ou h ei
早退	t s ou tʰ ɵy
早婚	t s ou f ɐ n
早晚	t s ou m a: n
早晨	t s ou s ɐ n
早產	t s ou t sʰ a: n
早場	t s ou t sʰ œ: ŋ
早期	t s ou kʰ ei
早飯	t s ou f a: n
早潮	t s ou t sʰ i:u
早熟	t s ou s ʊ k
早操	t s ou t sʰ ou
早餐	t s ou t sʰ a: n
早點	t s ou t i: m
旭日	j ʊ k j ɐ t
曲子	kʰ ʊ k t s i:
曲尺	kʰ ʊ k t sʰ ɛ: k
曲目	kʰ ʊ k m ʊ k
曲折	kʰ ʊ k t s i: t
曲直	kʰ ʊ k t s ɪ k
曲解	kʰ ʊ kk a:i
曲線	kʰ ʊ k s i: n
曲調	kʰ ʊ k t i:u
曲藝	kʰ ʊ k ŋ ɐi
曲譜	kʰ ʊ k pʰ ou
有力	j ɐu l ɪ k
有用	j ɐu j ʊ ŋ
有名	j ɐu m ɛ: ŋ
有利	j ɐu l ei
有助	j ɐu t s ɔ:
有事	j ɐu s i:
有些	j ɐu s ɛ:
有空	j ɐu h ʊ ŋ
有毒	j ɐu t ʊ k
有為	j ɐu w ɐi
有限	j ɐu h a: n
有害	j ɐu h ɔ:i
有效	j ɐu h a:u
有時	j ɐu s i:
有益	j ɐu j ɪ k
有望	j ɐu m ɔ: ŋ
有理	j ɐu l ei
有喜	j ɐu h ei
有意	j ɐu j i:
有罪	j ɐu t s ɵy
有種	j ɐu t s ʊ ŋ
有緣	j ɐu j y: n
有趣	j ɐu t sʰ ɵy
有錢	j ɐu t sʰ i: n
有點	j ɐu t i: m
有關	j ɐu k w a: n
朱紅	t s y: h ʊ ŋ
朽木	l ɐu m ʊ k
朽木	n ɐu m ʊ k
次子	t sʰ i: t s i:
次日	t sʰ i: j ɐ t
次序	t sʰ i: t s ɵy
次品	t sʰ i: p ɐ n
次要	t sʰ i: j i:u
次級	t sʰ i: kʰ ɐ p
次第	t sʰ i: t ɐi
次貨	t sʰ i: f ɔ:
次等	t sʰ i: t ɐ ŋ
次數	t sʰ i: s ou
此外	t sʰ i: ŋ ɔ:i
此外	t sʰ i:ɔ:i
此刻	t sʰ i: h ɐ k
此後	t sʰ i: h ɐu
此等	t sʰ i: t ɐ ŋ
此間	t sʰ i: k a: n
死人	s ei j ɐ n
死力	s ei l ɪ k
死亡	s ei m ɔ: ŋ
死心	s ei s ɐ m
死水	s ei s ɵy
死去	s ei h ɵy
死囚	s ei t sʰ ɐu
死刑	s ei j ɪ ŋ
死因	s ei j ɐ n
死守	s ei s ɐu
死角	s ei k ɔ: k
死板	s ei p a: n
死者	s ei t s ɛ:
死前	s ei t sʰ i: n
死屍	s ei s i:
死拼	s ei pʰ ɛ: ŋ
死相	s ei s œ: ŋ
死神	s ei s ɐ n
死訊	s ei s ɵ n
死寂	s ei t s ɪ k
死掉	s ei t ɛ:u
死期	s ei kʰ ei
死硬	s ei ŋ a: ŋ
死結	s ei k i: t
死傷	s ei s œ: ŋ
死罪	s ei t s ɵy
死路	s ei l ou
死敵	s ei t ɪ k
死諫	s ei k a: n
死難	s ei n a: n
死難	s ei l a: n
死黨	s ei t ɔ: ŋ
汗毛	h ɔ: n m ou
汗水	h ɔ: n s ɵy
汗衫	h ɔ: n s a: m
汗珠	h ɔ: n t s y:
汗臭	h ɔ: n t sʰ ɐu
汗液	h ɔ: n j ɪ k
汗腺	h ɔ: n s i: n
汗漬	h ɔ: n t s ɪ k
汗顏	h ɔ: n ŋ a: n
汗顏	h ɔ: n a: n
汝輩	l ei p u:i
江山	k ɔ: ŋ s a: n
江河	k ɔ: ŋ h ɔ:
江湖	k ɔ: ŋ w u:
池子	t sʰ i: t s i:
池水	t sʰ i: s ɵy
池塘	t sʰ i: tʰ ɔ: ŋ
污水	w u: s ɵy
污名	w u: m ɪ ŋ
污泥	w u: n ɐi
污泥	w u: l ɐi
污垢	w u: k ɐu
污染	w u: j i: m
污辱	w u: j ʊ k
污漬	w u: t s ɪ k
污蔑	w u: m i: t
污濁	w u: t s ʊ k
污點	w u: t i: m
污穢	w u: w ɐi
灰心	f u:i s ɐ m
灰白	f u:i p a: k
灰色	f u:i s ɪ k
灰兔	f u:i tʰ ou
灰泥	f u:i n ɐi
灰暗	f u:iɐ m
灰塵	f u:i t sʰ ɐ n
灰牆	f u:i t sʰ œ: ŋ
灰燼	f u:i t s ɵ n
牟利	m ɐu l ei
百合	p a: k h ɐ p
百年	p a: k n i: n
百姓	p a: k s ɪ ŋ
百般	p a: k p u: n
百貨	p a: k f ɔ:
竹子	t s ʊ k t s i:
竹片	t s ʊ k pʰ i: n
竹林	t s ʊ k l ɐ m
竹架	t s ʊ kk a:
竹竿	t s ʊ kk ɔ: n
竹帽	t s ʊ k m ou
竹棚	t s ʊ k pʰ a: ŋ
竹椅	t s ʊ k j i:
竹筍	t s ʊ k s ɵ n
竹筏	t s ʊ k f ɐ t
竹筐	t s ʊ k kʰ w ɔ: ŋ
竹筒	t s ʊ k tʰ ʊ ŋ
竹凳	t s ʊ k t ɐ ŋ
竹榻	t s ʊ k tʰ a: p
竹蓆	t s ʊ k t sʰ ɐ k
竹器	t s ʊ k h ei
竹篙	t s ʊ kk ou
竹雕	t s ʊ k t i:u
竹簾	t s ʊ k l i: m
竹籃	t s ʊ k l a: m
竹籠	t s ʊ k l ʊ ŋ
竹籤	t s ʊ k t sʰ i: m
竹籬	t s ʊ k l ei
米色	m ɐi s ɪ k
米缸	m ɐi k ɔ: ŋ
米倉	m ɐi t sʰ ɔ: ŋ
米粉	m ɐi f ɐ n
米酒	m ɐi t s ɐu
米粒	m ɐi l ɐ p
米湯	m ɐi tʰ ɔ: ŋ
米飯	m ɐi f a: n
米黃	m ɐi w ɔ: ŋ
米價	m ɐi k a:
米舖	m ɐi pʰ ou
米醋	m ɐi t sʰ ou
米糠	m ɐi h ɔ: ŋ
米糧	m ɐi l œ: ŋ
羊毛	j œ: ŋ m ou
羊年	j œ: ŋ n i: n
羊肉	j œ: ŋ j ʊ k
羊脂	j œ: ŋ t s i:
羊群	j œ: ŋ kʰ w ɐ n
