一	j ɐ t
丙	p ɪ ŋ
因	j ɐ n
旨	t s i:
修	s ɐu
宰	t s ɔ:i
唱	t sʰ œ: ŋ
張	t s œ: ŋ
從	t sʰ ʊ ŋ
教	k a:u
軸	t s ʊ k
腦	n ou
編	pʰ i: n
謀	m ɐu
辦	p a: n
講	k ɔ: ŋ
乏	f ɐ t
細	s ɐi
仕	s i:
他	tʰ a:
處	s y:
處	t sʰ y:
仗	t s œ: ŋ
印	ŋ ɐ n
印	j ɐ n
託	tʰ ɔ: k
清	t sʰ ɪ ŋ
清	t sʰ ɛ: ŋ
郵	j ɐu
鈔	t sʰ a:u
遊	j ɐu
表	p i:u
售	s ɐu
勞	l ou
替	tʰ ɐi
電	t i: n
此	t sʰ i:
往	w ɔ: ŋ
充	t sʰ ʊ ŋ
斥	t sʰ ɪ k
沛	pʰ u:i
飢	k ei
塞	s ɐ k
塞	t sʰ ɔ:i
溢	j ɐ t
裕	j y:
饑	k ei
封	f ʊ ŋ
季	k w ɐi
眠	m i: n
筍	s ɵ n
菇	k u:
菰	k u:
凸	t ɐ t
版	p a: n
凹	n ɐ p
凹	w a:
凹	l ɐ p
凹	a:u
示	s i:
自	t s i:
局	k ʊ k
巡	t sʰ ɵ n
沒	m u: t
走	t s ɐu
奇	k ei
奇	kʰ ei
征	t s ɪ ŋ
迎	j ɪ ŋ
軌	k w ɐi
租	t s ou
納	n a: p
逃	tʰ ou
現	j i: n
訪	f ɔ: ŋ
診	t sʰ ɐ n
診	t s ɐ n
勤	kʰ ɐ n
賣	m a:i
醜	t sʰ ɐu
殯	p ɐ n
籠	l ʊ ŋ
讓	j œ: ŋ
登	t ɐ ŋ
載	t s ɔ:i
效	h a:u
勳	f ɐ n
績	t s ɛ: k
績	t s ɪ k
加	k a:
收	s ɐu
快	f a:i
固	k u:
倍	pʰ u:i
害	h ɔ:i
害	h ɔ: t
冕	m i: n
強	k œ: ŋ
強	kʰ œ: ŋ
添	tʰ i: m
減	k a: m
註	t s y:
盟	m ɐ ŋ
緊	k ɐ n
蓋	k ɐ p
蓋	h ɐ p
